time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-7.739839811381353e-06,3.5723236582076905e-06,0.004141698947927385,6.282696387559315,6.28318291980368,0.0,-0.00038691278815344214,0.00015888536716481832,0.13804912911009237,-0.08583789736375605,-0.11990160999906657,0.0,453.8774994494287,444.1501869736516,452.0516235261282,445.08145679239533
0.12000000000000001,-8.925126791173352e-06,-1.4350176656615498e-05,0.01656507573106509,6.277093865735228,6.275891641368862,0.0,0.0010079900802317835,-0.0012623837517310474,0.2760370407471486,-0.17572549620728553,-0.23493826681028118,0.0,453.6895090297423,444.33408021209664,452.2546433511181,444.9444462887289
0.18,0.0002601286795202466,-0.0002615682654718867,0.03724669626981492,6.2660701280238165,6.26170332618177,0.0,0.009361001243285852,-0.008069199699079054,0.41328332346223784,-0.26275906206767785,-0.35034144778004395,0.0,453.9960438519067,444.5651841136964,451.61576027168286,444.4997624227036
0.23999999999999996,0.0013673421819714307,-0.0011778254755090483,0.0661197424792201,6.249795563443053,6.240466041077944,0.0,0.029706946406744227,-0.024126201196423083,0.5489973140861196,-0.34647836084491546,-0.45859296719690057,0.0,453.389471870844,444.4530080479126,451.3656553707216,444.47262322590825
0.3,0.00418185395790968,-0.0034287314832963833,0.10308305259452236,6.2285922014567845,6.212722539677131,0.0,0.0669615802179743,-0.05306347631281188,0.6828058158409579,-0.44019145630404005,-0.5662329341585165,0.0,453.60070349886706,444.6167499839178,451.37843271293883,443.60387401765826
0.36000000000000004,0.009856662958186373,-0.007894134688874552,0.14800422838321733,6.201866268073761,6.178733801105581,0.0,0.125693472628973,-0.09850012787627867,0.814017771863211,-0.5419880195377235,-0.6859167230202828,0.0,454.0483996968818,443.95425112298926,452.00411686008874,443.4891257753369
0.4200000000000001,0.01981861879803262,-0.01567841525643656,0.2006575573693476,6.169061748950519,6.137231784368257,0.0,0.21066413735960465,-0.16428151068854713,0.9401648198658028,-0.6459252680364923,-0.7855168729794213,0.0,453.14681246192237,444.5189839688586,452.23294974520275,443.43054869400606
0.48000000000000015,0.03579166473395723,-0.02812108414247447,0.2606639944483114,6.129943174012071,6.0897570098688725,0.0,0.32665361295031303,-0.25434990077904857,1.0586132868568088,-0.744245437841211,-0.885453401713609,0.0,453.23208043186025,444.41249052246644,452.22047314189496,443.7407173984868
0.5400000000000001,0.05975113023619795,-0.04678306137081209,0.32742177910273945,6.084820085608497,6.0361161123901965,0.0,0.4774664588123101,-0.3720425089164225,1.1645462980849592,-0.8331971381291173,-0.9693660143807007,0.0,452.25500278833925,444.5530854373775,451.92409053915446,444.05809701817975
0.6000000000000002,0.09389333735979125,-0.07340079884300661,0.40004169728542605,6.034307045181043,5.97744755785693,0.0,0.6664827564976303,-0.5198129388259985,1.2532432673941805,-0.9160649011278906,-1.0542684738653438,0.0,451.85063427456225,443.88567663630585,451.96000332994663,444.43965318288105
0.6600000000000003,0.1405935825067298,-0.10982446980183276,0.47734001690735367,5.978776547397036,5.91366328944715,0.0,0.896427697181436,-0.6989925838941867,1.3195873417240167,-0.9918982239295238,-1.136489528119529,0.0,451.9360401210991,444.00280678639984,451.68764445964456,444.5820589324756
0.7200000000000003,0.2023740919296111,-0.15793878437767078,0.5577829096485932,5.918702376272773,5.844872165462903,0.0,1.169437184411636,-0.9093414210299761,1.3570572216318353,-1.0690359815395085,-1.2031270237599596,0.0,451.5017521684065,444.65150326257225,451.7119519259028,444.3377297251914
0.7800000000000004,0.2818706374323793,-0.21957561818069976,0.6394517102790762,5.854010207725308,5.772090971712384,0.0,1.4870277952331863,-1.1493884632750475,1.3594100856312454,-1.14803638678853,-1.2730880530054398,0.0,452.0877751922479,444.7990397365676,451.998317826066,444.2977470996834
0.8400000000000004,0.38174313576032076,-0.2964125789434968,0.719987933584455,5.784542058502581,5.695118069455599,0.0,1.848585996013851,-1.415414157048552,1.3182343613644436,-1.220029220841939,-1.3449276707288529,0.0,452.0110265577679,444.373327036419,451.60975565592514,444.2882514038322
0.9000000000000005,0.5046220830800663,-0.38987393014703775,0.7965838659312511,5.710731519208519,5.613841593927379,0.0,2.25372587790938,-1.7026262610680902,1.2270321216639002,-1.2800959736770998,-1.4185825960948801,0.0,452.2098055285436,444.2164046834641,451.23746757786785,444.70928407202024
0.9600000000000005,0.6530964387486569,-0.5010373745291361,0.866060093909034,5.633316959954907,5.528133945907271,0.0,2.7014264085189135,-2.004230174787803,1.0800013108385909,-1.338932520960975,-1.4893573867532843,0.0,452.6512553905012,444.67934323459207,451.5972540705575,445.010430641367
1.0200000000000005,0.8296215698070709,-0.630484279674458,0.924880384946935,5.552384287188083,5.438166125872234,0.0,3.188187904393954,-2.3105707073115287,0.8711507014901132,-1.3906042836673445,-1.5550182673656023,0.0,452.71918573523106,444.94532034177723,451.512610659512,445.34802869815496
1.0800000000000005,1.0364162725472557,-0.7781822888803896,0.9692227315203812,5.468354194963782,5.344256477835618,0.0,3.7096145773810316,-2.610902726977995,0.5970639018279456,-1.4412470788466492,-1.6195835768929343,0.0,453.11704508065515,445.22045052118403,451.64335456099315,445.4105932070028
1.1400000000000006,1.2753765739658875,-0.943415102055859,0.9951252899233245,5.381276440138917,5.24647024954762,0.0,4.259381178560129,-2.8932941464107613,0.2565552948837209,-1.495071423680557,-1.6818571401163946,0.0,453.2338193158216,445.30347188947,451.94668865002274,445.29684072201246
